192.168.65.1 - - [09/Apr/2025:21:01:59 +0000] "GET / HTTP/1.1" 200 27 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15" "-"
172.18.0.6 - - [09/Apr/2025:21:56:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:56:45 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:57:00 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:57:15 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:57:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:57:45 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:58:00 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:58:15 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:58:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:58:45 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:59:00 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:59:15 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:59:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
